LineCode,StationCode,StationName,SeqNum,DistanceToPrev,Name,StationTogether1,LineCode1,LineCode2,LineCode3,Lat,Lon,queriedLine,isUpperLevel,lines,opening
SV,N03,Greensboro,26,3902,Greensboro,,SV,,,38.919749,-77.235192,SV,-1,Silver,2014-07-26
SV,N04,Spring Hill,27,3634,Spring Hill,,SV,,,38.929273,-77.241988,SV,-1,Silver,2014-07-26
SV,N06,Wiehle-Reston East,28,30867,Wiehle-Reston East,,SV,,,38.947753,-77.340179,SV,-1,Silver,2014-07-26
SV,N07,Reston Town Center,29,5961,Reston Town Center,,SV,,,38.952768,-77.360185,SV,-1,Silver,2022-11-15
SV,N08,Herndon,30,7130,Herndon,,SV,,,38.952821,-77.385178,SV,-1,Silver,2022-11-15
SV,N09,Innovation Center,31,9095,Innovation Center,,SV,,,38.960758,-77.415295,SV,-1,Silver,2022-11-15
SV,N10,Washington Dulles International Airport,32,10999,Washington Dulles International Airport,,SV,,,38.955784,-77.448148,SV,-1,Silver,2022-11-15
SV,N11,Loudoun Gateway,33,15145,Loudoun Gateway,,SV,,,38.99204,-77.460685,SV,-1,Silver,2022-11-15
SV,N12,Ashburn,34,10338,Ashburn,,SV,,,39.005283,-77.491537,SV,-1,Silver,2022-11-15
YL,C15,Huntington,1,,Huntington,,YL,,,38.793841,-77.075301,YL,-1,Yellow,1983-12-17
YL,C14,Eisenhower Avenue,2,2770,Eisenhower Avenue,,YL,,,38.800313,-77.071173,YL,-1,Yellow,1983-12-17
YL,C13,King St-Old Town,3,3734,King St-Old Town,,BL,YL,,38.806474,-77.061115,BL,-1,"Blue,Yellow",1983-12-17
YL,C12,Braddock Road,4,3453,Braddock Road,,BL,YL,,38.814009,-77.053763,BL,-1,"Blue,Yellow",1983-12-17
YL,C10,Ronald Reagan Washington National Airport,5,8605,Ronald Reagan Washington National Airport,,BL,YL,,38.852985,-77.043805,BL,-1,"Blue,Yellow",1977-07-01
YL,C09,Crystal City,6,2939,Crystal City,,BL,YL,,38.85779,-77.050589,BL,-1,"Blue,Yellow",1977-07-01
YL,C08,Pentagon City,7,4068,Pentagon City,,BL,YL,,38.863045,-77.059507,BL,-1,"Blue,Yellow",1977-07-01
YL,C07,Pentagon,8,3216,Pentagon,,BL,YL,,38.869349,-77.054013,BL,-1,"Blue,Yellow",1977-07-01
YL,F03,L'Enfant Plaza,9,12524,L'Enfant Plaza,D03,GR,YL,,38.884775,-77.021964,GR,1,"Green,Yellow",1983-04-30
YL,F02,Archives-Navy Memorial-Penn Quarter,10,2950,Archives-Navy Memorial-Penn Quarter,,GR,YL,,38.893893,-77.021902,GR,-1,"Green,Yellow",1983-04-30
YL,F01,Gallery Pl-Chinatown,11,1879,Gallery Pl-Chinatown,B01,GR,YL,,38.89834,-77.021851,GR,0,"Green,Yellow",1983-04-30
YL,E01,Mt Vernon Sq 7th St-Convention Center,12,2985,Mt Vernon Sq 7th St-Convention Center,,GR,YL,,38.905604,-77.022256,GR,-1,"Green,Yellow",1991-05-11
YL,E02,Shaw-Howard U,13,2527,Shaw-Howard U,,GR,YL,,38.912919,-77.022194,GR,-1,"Green,Yellow",1991-05-11
YL,E03,U Street/African-Amer Civil War Memorial/Cardozo,14,2555,U Street/African-Amer Civil War Memorial/Cardozo,,GR,YL,,38.916489,-77.028938,GR,-1,"Green,Yellow",1991-05-11
YL,E04,Columbia Heights,15,4715,Columbia Heights,,GR,YL,,38.928672,-77.032775,GR,-1,"Green,Yellow",1999-09-18
YL,E05,Georgia Ave-Petworth,16,4717,Georgia Ave-Petworth,,GR,YL,,38.936077,-77.024728,GR,-1,"Green,Yellow",1999-09-18
YL,E06,Fort Totten,17,8348,Fort Totten,B06,GR,YL,,38.951777,-77.002174,GR,0,"Green,Yellow",1993-12-11
