Code,Name,StationTogether1,StationTogether2,LineCode1,LineCode2,LineCode3,LineCode4,Lat,Lon,queriedLine
D07,Potomac Ave,,,BL,OR,SV,,38.880841,-76.985721,SV
D08,Stadium-Armory,,,BL,OR,SV,,38.88594,-76.977485,SV
G01,Benning Road,,,BL,SV,,,38.890488,-76.938291,SV
G02,Capitol Heights,,,BL,SV,,,38.889757,-76.913382,SV
G03,Addison Road-Seat Pleasant,,,BL,SV,,,38.886713,-76.893592,SV
G04,Morgan Boulevard,,,BL,SV,,,38.8913,-76.8682,SV
G05,Downtown Largo,,,BL,SV,,,38.9008,-76.8449,SV
K01,Court House,,,OR,SV,,,38.891499,-77.08391,SV
K02,Clarendon,,,OR,SV,,,38.886373,-77.096963,SV
K03,Virginia Square-GMU,,,OR,SV,,,38.88331,-77.104267,SV
K04,Ballston-MU,,,OR,SV,,,38.882071,-77.111845,SV
K05,East Falls Church,,,OR,SV,,,38.885841,-77.157177,SV
N01,McLean,,,SV,,,,38.924478,-77.210167,SV
N02,Tysons,,,SV,,,,38.920056,-77.223314,SV
N03,Greensboro,,,SV,,,,38.919749,-77.235192,SV
N04,Spring Hill,,,SV,,,,38.929273,-77.241988,SV
N06,Wiehle-Reston East,,,SV,,,,38.947753,-77.340179,SV
N07,Reston Town Center,,,SV,,,,38.952768,-77.360185,SV
N08,Herndon,,,SV,,,,38.952821,-77.385178,SV
N09,Innovation Center,,,SV,,,,38.960758,-77.415295,SV
N10,Washington Dulles International Airport,,,SV,,,,38.955784,-77.448148,SV
N11,Loudoun Gateway,,,SV,,,,38.99204,-77.460685,SV
N12,Ashburn,,,SV,,,,39.005283,-77.491537,SV
